SO HD,NGAY,MA KH,TEN KH,MÃ NV,Tên NV,MÃ HH,TÊN SP,SL,ĐƠN GIÁ,THÀNH TIỀN,VAT,NHÃN HÀNG,CỬA HÀNG,HỆ THỐNG,20241231
24120008107,02/12/2024,COOP_VTHANH,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2310001,Bột Tẩy Rửa Đa Năng Baking Soda 227g - Scratchless Cleaning (1309),48,21000,1008000,1108800,BAKING SODA,COOP VAN THANH,COOP MART,20241231
24120008108,02/12/2024,COOP_CTHO,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,6010003,Pin Fujitsu - LR03(2B) FU-W- FI - AAA     (3500),20,18000,360000,396000.00000000006,FUJITSU,COOP CAN THO,COOP MART,20241231
24120008108,02/12/2024,COOP_CTHO,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,6050002,Pin Fujitsu - R6(4B) F-GP - AA    (2115),30,13860,415800,457380.00000000006,FUJITSU,COOP CAN THO,COOP MART,20241231
24120008108,02/12/2024,COOP_CTHO,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,6050004,Pin Fujitsu - R03(4B) F-GP - AAA     (3112),20,13860,277200,304920,FUJITSU,COOP CAN THO,COOP MART,20241231
24120008109,02/12/2024,COOP_QNGAI,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2310001,Bột Tẩy Rửa Đa Năng Baking Soda 227g - Scratchless Cleaning (1309),48,21000,1008000,1108800,BAKING SODA,COOP QUANG NGAI,COOP MART,20241231
24120008109,02/12/2024,COOP_QNGAI,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),48,32000,1536000,1689600.0000000002,BAKING SODA,COOP QUANG NGAI,COOP MART,20241231
24120008109,02/12/2024,COOP_QNGAI,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),60,10800,648000,712800,BAKING SODA,COOP QUANG NGAI,COOP MART,20241231
24120008110,02/12/2024,COOP_TTHANH,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),30,10800,324000,356400,BAKING SODA,COOP TAN THANH VUNG TAU,COOP MART,20241231
24120008111,02/12/2024,COOP_PRI,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),60,10800,648000,712800,BAKING SODA,COOP PHAN RI CUA,COOP MART,20241231
24120008112,02/12/2024,HD_NHT,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,2310004,Bột Đa Năng Baking Soda 500g - Scratchless Cleaning (2987),10,39000,390000,429000.00000000006,BAKING SODA,GENSHAI THE PARK RESIDENCE,GENSHAI,20241231
24120008112,02/12/2024,HD_NHT,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),12,33000,396000,435600.00000000006,BAKING SODA,GENSHAI THE PARK RESIDENCE,GENSHAI,20241231
24120008112,02/12/2024,HD_NHT,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,6010003,Pin Fujitsu - LR03(2B) FU-W- FI - AAA     (3500),10,20000,200000,220000.00000000003,FUJITSU,GENSHAI THE PARK RESIDENCE,GENSHAI,20241231
24120008112,02/12/2024,HD_NHT,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,6010004,Pin Fujitsu - LR03(4B) FU-W-FI - AAA    (5504),30,39000,1170000,1287000,FUJITSU,GENSHAI THE PARK RESIDENCE,GENSHAI,20241231
24120008112,02/12/2024,HD_NHT,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,6040021,Pin Fujitsu - R6/2300(BP4) - 3N(4B)FJ-EUNAB - AA   (2306),30,20000,600000,660000,FUJITSU,GENSHAI THE PARK RESIDENCE,GENSHAI,20241231
24120008112,02/12/2024,HD_NHT,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,6050002,Pin Fujitsu - R6(4B) F-GP - AA    (2115),20,16000,320000,352000,FUJITSU,GENSHAI THE PARK RESIDENCE,GENSHAI,20241231
24120008114,02/12/2024,HD_DVC,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,6060020,Máy Sạc Fujitsu - FCT 344CEFX(CL) - 2hr - 4xAA-  2000mAh (1373),2,650000,1300000,1430000,FUJITSU,GENSHAI VERD DONG VAN CONG,GENSHAI,20241231
24120008115,02/12/2024,6209,CÔNG TY CỔ PHẦN KING FOOD MARKET,NV0133,Thảo Nguyên - MT ,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),96,26800,2572800,2830080,BAKING SODA,KING FOOD ,KING FOOD,20241231
24120008116,02/12/2024,COOP_STRANG,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),24,32000,768000,844800.0000000001,BAKING SODA,COOP SOC TRANG,COOP MART,20241231
24120008117,02/12/2024,COOP_HBINH,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),30,10800,324000,356400,BAKING SODA,COOP HOA BINH,COOP MART,20241231
24120008118,02/12/2024,BHX_13628_TNINH,Công Ty Cổ Phần Thương Mại Bách Hóa Xanh ,NV0130,Nam Phương - 0333719804,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),72,22320,1607040,1767744.0000000002,BAKING SODA,BACH HOA XANH TAY NINH,BHX,20241231
24120008119,02/12/2024,BHX_7200_DKHANH,Công Ty Cổ Phần Thương Mại Bách Hóa Xanh ,NV0130,Nam Phương - 0333719804,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),48,22320,1071360,1178496,BAKING SODA,BACH HOA XANH DIEN KHANH,BHX,20241231
24120008120,02/12/2024,BHX_6911_KGIANG,Công Ty Cổ Phần Thương Mại Bách Hóa Xanh ,NV0130,Nam Phương - 0333719804,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),72,22320,1607040,1767744.0000000002,BAKING SODA,BACH HOA XANH TAN PHU TRUNG,BHX,20241231
24120008121,02/12/2024,BHX_5060_CTHANHA,Công Ty Cổ Phần Thương Mại Bách Hóa Xanh ,NV0130,Nam Phương - 0333719804,2320001,Bột Nổi Baking Soda 453g - Fresh Box (1101),144,22320,3214080,3535488.0000000005,BAKING SODA,BACH HOA XANH CHAU THANH A,BHX,20241231
24120008122,02/12/2024,BHX_1522_VLOC,Công Ty Cổ Phần Thương Mại Bách Hóa Xanh ,NV0130,Nam Phương - 0333719804,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),72,22320,1607040,1767744.0000000002,BAKING SODA,BACH HOA XANH KHO VINH LOC,BHX,20241231
24120008123,02/12/2024,BHX_3240_TDN,Công Ty Cổ Phần Thương Mại Bách Hóa Xanh ,NV0130,Nam Phương - 0333719804,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),72,22320,1607040,1767744.0000000002,BAKING SODA,BACH HOA XANH KHO TRAN DAI NGHIA,BHX,20241231
24120008124,02/12/2024,BHX_5058_TNOT,Công Ty Cổ Phần Thương Mại Bách Hóa Xanh ,NV0130,Nam Phương - 0333719804,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),192,22320,4285440,4713984,BAKING SODA,BACH HOA XANH THOT NOT,BHX,20241231
24120008125,02/12/2024,BHX_7161_PMY,Công Ty Cổ Phần Thương Mại Bách Hóa Xanh ,NV0130,Nam Phương - 0333719804,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),72,22320,1607040,1767744.0000000002,BAKING SODA,BACH HOA XANH PHU MY,BHX,20241231
24120008126,02/12/2024,MG_26_71,Công ty TNHH MM Mega Market (Việt Nam),NV0130,Nam Phương - 0333719804,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),432,28188,12177216,13394937.600000001,BAKING SODA,MEGA KHO1,MEGA,20241231
24120008127,02/12/2024,HD_DVC,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,2310001,Bột Tẩy Rửa Đa Năng Baking Soda 227g - Scratchless Cleaning (1309),12,21000,252000,277200,BAKING SODA,GENSHAI VERD DONG VAN CONG,GENSHAI,20241231
24120008127,02/12/2024,HD_DVC,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,2310004,Bột Đa Năng Baking Soda 500g - Scratchless Cleaning (2987),12,39000,468000,514800.00000000006,BAKING SODA,GENSHAI VERD DONG VAN CONG,GENSHAI,20241231
24120008127,02/12/2024,HD_DVC,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),15,33000,495000,544500,BAKING SODA,GENSHAI VERD DONG VAN CONG,GENSHAI,20241231
24120008127,02/12/2024,HD_DVC,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,2340002,Muối Nổi Rửa Rau Quả Baking Soda 340g (6592),6,72000,432000,475200.00000000006,BAKING SODA,GENSHAI VERD DONG VAN CONG,GENSHAI,20241231
24120008127,02/12/2024,HD_DVC,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,2350001,"Bột Khử Mùi Tủ Lạnh Baking Soda 396,8g - Fridge-N-Freezer (0204)",6,42000,252000,277200,BAKING SODA,GENSHAI VERD DONG VAN CONG,GENSHAI,20241231
24120008127,02/12/2024,HD_DVC,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,6010004,Pin Fujitsu - LR03(4B) FU-W-FI - AAA    (5504),20,39000,780000,858000.0000000001,FUJITSU,GENSHAI VERD DONG VAN CONG,GENSHAI,20241231
24120008127,02/12/2024,HD_DVC,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,6010033,Pin Fujitsu Premium - LR03(4B) FP-W-FI  - AAA    (0600),20,60000,1200000,1320000,FUJITSU,GENSHAI VERD DONG VAN CONG,GENSHAI,20241231
24120008127,02/12/2024,HD_DVC,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,6050002,Pin Fujitsu - R6(4B) F-GP - AA    (2115),30,16000,480000,528000,FUJITSU,GENSHAI VERD DONG VAN CONG,GENSHAI,20241231
24120008127,02/12/2024,HD_DVC,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,6050004,Pin Fujitsu - R03(4B) F-GP - AAA     (3112),20,16000,320000,352000,FUJITSU,GENSHAI VERD DONG VAN CONG,GENSHAI,20241231
24120008127,02/12/2024,HD_DVC,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,6060001,Pin  Sạc Fujitsu - HR-3UTCEX (2B) - AA - 1900mAh  (6148),5,170000,850000,935000.0000000001,FUJITSU,GENSHAI VERD DONG VAN CONG,GENSHAI,20241231
24120008127,02/12/2024,HD_DVC,Công Ty Cổ Phần Sài Gòn HD,NV0133,Thảo Nguyên - MT ,6060006,Pin  Sạc Fujitsu - HR-3UTHCEX(2B) - AA- 2450mAh    (1665),5,200000,1000000,1100000,FUJITSU,GENSHAI VERD DONG VAN CONG,GENSHAI,20241231
24120008129,02/12/2024,COOP_SDEC,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),30,10800,324000,356400,BAKING SODA,COOP SA DEC,COOP MART,20241231
24120008130,02/12/2024,COOP_PLAM,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),30,10800,324000,356400,BAKING SODA,COOP PHU LAM,COOP MART,20241231
24120008131,02/12/2024,COOP_LTK,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2310004,Bột Đa Năng Baking Soda 500g - Scratchless Cleaning (2987),20,33150,663000,729300.0000000001,BAKING SODA,COOP LY THUONG KIET,COOP MART,20241231
24120008133,02/12/2024,COOP_SVH,Liên Hiệp HTX TM TP.HCM ,NV0132,Lữ Diệu Quang ,2310001,Bột Tẩy Rửa Đa Năng Baking Soda 227g - Scratchless Cleaning (1309),24,21000,504000,554400,BAKING SODA,COOP EXTRA SU VAN HANH,COOP EXTRA,20241231
24120008133,02/12/2024,COOP_SVH,Liên Hiệp HTX TM TP.HCM ,NV0132,Lữ Diệu Quang ,2310008,Bột Đa Năng Baking Soda 2.1kg - Scratchless Cleaning (2970),6,136000,816000,897600.0000000001,BAKING SODA,COOP EXTRA SU VAN HANH,COOP EXTRA,20241231
24120008133,02/12/2024,COOP_SVH,Liên Hiệp HTX TM TP.HCM ,NV0132,Lữ Diệu Quang ,2340002,Muối Nổi Rửa Rau Quả Baking Soda 340g (6592),12,72000,864000,950400.0000000001,BAKING SODA,COOP EXTRA SU VAN HANH,COOP EXTRA,20241231
24120008134,02/12/2024,COOP_DXOAI,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2310001,Bột Tẩy Rửa Đa Năng Baking Soda 227g - Scratchless Cleaning (1309),72,21000,1512000,1663200.0000000002,BAKING SODA,COOP DONG XOAI BINH PHUOC,COOP MART,20241231
24120008136,02/12/2024,LOTTE_GVAP,Công Ty Cổ Phần Trung Tâm Thương Mại Lotte Việt Nam - Chi Nhánh Gò Vấp,NV0133,Thảo Nguyên - MT ,2310002,Bột Tẩy Rửa Đa Năng Baking Soda 226g - Scratchless Cleaning (1309),48,21000,1008000,1108800,BAKING SODA,LOTTE GO VAP,LOTTE,20241231
24120008136,02/12/2024,LOTTE_GVAP,Công Ty Cổ Phần Trung Tâm Thương Mại Lotte Việt Nam - Chi Nhánh Gò Vấp,NV0133,Thảo Nguyên - MT ,2310004,Bột Đa Năng Baking Soda 500g - Scratchless Cleaning (2987),20,31200,624000,686400,BAKING SODA,LOTTE GO VAP,LOTTE,20241231
24120008137,02/12/2024,LOTTE_ZTLEX,Công Ty Cổ Phần Trung Tâm Thương Mại Lotte Việt Nam - Chi Nhánh Tây Hồ ,NV0133,Thảo Nguyên - MT ,2310004,Bột Đa Năng Baking Soda 500g - Scratchless Cleaning (2987),20,31200,624000,686400,BAKING SODA,LOTTE ZTLEX,LOTTE,20241231
24120008137,02/12/2024,LOTTE_ZTLEX,Công Ty Cổ Phần Trung Tâm Thương Mại Lotte Việt Nam - Chi Nhánh Tây Hồ ,NV0133,Thảo Nguyên - MT ,2310008,Bột Đa Năng Baking Soda 2.1kg - Scratchless Cleaning (2970),6,122400,734400,807840.0000000001,BAKING SODA,LOTTE ZTLEX,LOTTE,20241231
24120008137,02/12/2024,LOTTE_ZTLEX,Công Ty Cổ Phần Trung Tâm Thương Mại Lotte Việt Nam - Chi Nhánh Tây Hồ ,NV0133,Thảo Nguyên - MT ,2340002,Muối Nổi Rửa Rau Quả Baking Soda 340g (6592),12,61200,734400,807840.0000000001,BAKING SODA,LOTTE ZTLEX,LOTTE,20241231
24120008138,02/12/2024,LOTTE_NTRANG2,Công Ty Cổ Phần Trung Tâm Thương Mại Lotte Việt Nam - Chi Nhánh Nha Trang ,NV0133,Thảo Nguyên - MT ,6040021,Pin Fujitsu - R6/2300(BP4) - 3N(4B)FJ-EUNAB - AA   (2306),20,17000,340000,374000.00000000006,FUJITSU,LOTTE NHA TRANG GOLD COAST,LOTTE,20241231
24120008139,02/12/2024,COOP_VTAU,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),24,32000,768000,844800.0000000001,BAKING SODA,COOP VUNG TAU,COOP MART,20241231
24120008139,02/12/2024,COOP_VTAU,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),30,10800,324000,356400,BAKING SODA,COOP VUNG TAU,COOP MART,20241231
24120008140,03/12/2024,LOTTE_NTRANG,Công Ty Cổ Phần Trung Tâm Thương Mại Lotte Việt Nam - Chi Nhánh Nha Trang ,NV0133,Thảo Nguyên - MT ,6010003,Pin Fujitsu - LR03(2B) FU-W- FI - AAA     (3500),5,20000,100000,110000.00000000001,FUJITSU,LOTTE NHA TRANG,LOTTE,20241231
24120008140,03/12/2024,LOTTE_NTRANG,Công Ty Cổ Phần Trung Tâm Thương Mại Lotte Việt Nam - Chi Nhánh Nha Trang ,NV0133,Thảo Nguyên - MT ,6010004,Pin Fujitsu - LR03(4B) FU-W-FI - AAA    (5504),5,39000,195000,214500.00000000003,FUJITSU,LOTTE NHA TRANG,LOTTE,20241231
24120008140,03/12/2024,LOTTE_NTRANG,Công Ty Cổ Phần Trung Tâm Thương Mại Lotte Việt Nam - Chi Nhánh Nha Trang ,NV0133,Thảo Nguyên - MT ,6040021,Pin Fujitsu - R6/2300(BP4) - 3N(4B)FJ-EUNAB - AA   (2306),10,20000,200000,220000.00000000003,FUJITSU,LOTTE NHA TRANG,LOTTE,20241231
24120008140,03/12/2024,LOTTE_NTRANG,Công Ty Cổ Phần Trung Tâm Thương Mại Lotte Việt Nam - Chi Nhánh Nha Trang ,NV0133,Thảo Nguyên - MT ,6040022,Pin Fujitsu - R03/2400(BP4) - R03N(4B)FJEUNIC -  AAA   (3402),10,20000,200000,220000.00000000003,FUJITSU,LOTTE NHA TRANG,LOTTE,20241231
