SO HD,NGAY,MA KH,TEN KH,MÃ NV,Tên NV,MÃ HH,TÊN SP,SL,ĐƠN GIÁ,THÀNH TIỀN,VAT,NHÃN HÀNG,CỬA HÀNG,HỆ THỐNG,20251031
25100007268,01/10/2025,COOP_RMIEU,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2310002,Bột Tẩy Rửa Đa Năng Baking Soda 226g - Scratchless Cleaning (1309),48,23000,1104000,1214400,BAKING SODA,COOP RACH MIEU,COOP MART,20251031
25100007292,01/10/2025,COOP_CDOC,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2310002,Bột Tẩy Rửa Đa Năng Baking Soda 226g - Scratchless Cleaning (1309),48,23000,1104000,1214400,BAKING SODA,COOP CHAU DOC,COOP MART,20251031
25100007273,01/10/2025,COOP_NLOC,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),24,36000,864000,950400.0000000001,BAKING SODA,COOP NHIEU LOC,COOP MART,20251031
25100007309,01/10/2025,COOP_FL_RIVIERA,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),12,36000,432000,475200.00000000006,BAKING SODA,COOP FINELIFE RIVIERA POINT,COOP MART,20251031
25100007269,01/10/2025,COOP_FL_HADO,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),24,13000,312000,343200,BAKING SODA,COOP FINELIFE HA DO,COOP MART,20251031
25100007273,01/10/2025,COOP_NLOC,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),30,13000,390000,429000.00000000006,BAKING SODA,COOP NHIEU LOC,COOP MART,20251031
25100007274,01/10/2025,COOP_TLV,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),40,13000,520000,572000,BAKING SODA,COOP TUY LY VUONG,COOP MART,20251031
25100007269,01/10/2025,COOP_FL_HADO,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2360001,Bột Khử Mùi Baking Soda 340g - Fresh-N-Natural (4604),12,42000,504000,554400,BAKING SODA,COOP FINELIFE HA DO,COOP MART,20251031
25100007309,01/10/2025,COOP_FL_RIVIERA,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,6010014,Pin Fujitsu - LR03(4B+2B) FU-W-FI - AAA    (5504),10,39000,390000,429000.00000000006,FUJITSU,COOP FINELIFE RIVIERA POINT,COOP MART,20251031
25100007330,02/10/2025,COOP_BRIA,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),48,36000,1728000,1900800.0000000002,BAKING SODA,COOP BA RIA,COOP MART,20251031
25100007316,02/10/2025,COOP_BLIEU2,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),60,13000,780000,858000.0000000001,BAKING SODA,COOP BAC LIEU 2,COOP MART,20251031
25100007325,02/10/2025,COOP_BTAN,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),60,13000,780000,858000.0000000001,BAKING SODA,COOP BINH TAN,COOP MART,20251031
25100007330,02/10/2025,COOP_BRIA,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),30,13000,390000,429000.00000000006,BAKING SODA,COOP BA RIA,COOP MART,20251031
25100007337,02/10/2025,COOP_CCHI,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),30,13000,390000,429000.00000000006,BAKING SODA,COOP CU CHI,COOP MART,20251031
25100007315,02/10/2025,COOP_CQUYNH,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,6050002,Pin Fujitsu - R6(4B) F-GP - AA    (2115),30,13860,415800,457380.00000000006,FUJITSU,COOP CONG QUYNH,COOP MART,20251031
25100007315,02/10/2025,COOP_CQUYNH,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,6050004,Pin Fujitsu - R03(4B) F-GP - AAA     (3112),30,13860,415800,457380.00000000006,FUJITSU,COOP CONG QUYNH,COOP MART,20251031
25100007343,03/10/2025,COOP_DVC,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2310002,Bột Tẩy Rửa Đa Năng Baking Soda 226g - Scratchless Cleaning (1309),24,23000,552000,607200,BAKING SODA,COOP DONG VAN CONG,COOP MART,20251031
25100007342,03/10/2025,COOP_CQUYNH,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),48,36000,1728000,1900800.0000000002,BAKING SODA,COOP CONG QUYNH,COOP MART,20251031
25100007343,03/10/2025,COOP_DVC,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),24,36000,864000,950400.0000000001,BAKING SODA,COOP DONG VAN CONG,COOP MART,20251031
25100007343,03/10/2025,COOP_DVC,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),30,13000,390000,429000.00000000006,BAKING SODA,COOP DONG VAN CONG,COOP MART,20251031
25100007392,06/10/2025,COOP_HPHONG,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2310002,Bột Tẩy Rửa Đa Năng Baking Soda 226g - Scratchless Cleaning (1309),24,23000,552000,607200,BAKING SODA,COOP HAI PHONG,COOP MART,20251031
25100007394,06/10/2025,COOP_CLAY,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2310002,Bột Tẩy Rửa Đa Năng Baking Soda 226g - Scratchless Cleaning (1309),12,23000,276000,303600,BAKING SODA,COOP CAI LAY,COOP MART,20251031
25100007405,06/10/2025,COOP_CQUYNH,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2310002,Bột Tẩy Rửa Đa Năng Baking Soda 226g - Scratchless Cleaning (1309),48,23000,1104000,1214400,BAKING SODA,COOP CONG QUYNH,COOP MART,20251031
25100007388,06/10/2025,COOP_PNHUAN,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2310004,Bột Đa Năng Baking Soda 500g - Scratchless Cleaning (2987),20,43000,860000,946000.0000000001,BAKING SODA,COOP NGUYEN KIEM,COOP MART,20251031
25100007392,06/10/2025,COOP_HPHONG,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2310004,Bột Đa Năng Baking Soda 500g - Scratchless Cleaning (2987),20,43000,860000,946000.0000000001,BAKING SODA,COOP HAI PHONG,COOP MART,20251031
25100007394,06/10/2025,COOP_CLAY,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2310004,Bột Đa Năng Baking Soda 500g - Scratchless Cleaning (2987),10,43000,430000,473000.00000000006,BAKING SODA,COOP CAI LAY,COOP MART,20251031
25100007405,06/10/2025,COOP_CQUYNH,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2310004,Bột Đa Năng Baking Soda 500g - Scratchless Cleaning (2987),20,43000,860000,946000.0000000001,BAKING SODA,COOP CONG QUYNH,COOP MART,20251031
25100007382,06/10/2025,COOP_TNOT,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),48,36000,1728000,1900800.0000000002,BAKING SODA,COOP THOT NOT,COOP MART,20251031
25100007383,06/10/2025,COOP_BDUONG,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),24,36000,864000,950400.0000000001,BAKING SODA,COOP BINH DUONG,COOP MART,20251031
25100007384,06/10/2025,COOP_TCTN,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),24,36000,864000,950400.0000000001,BAKING SODA,COOP TAN CHAU TAY NINH,COOP MART,20251031
25100007386,06/10/2025,COOP_TQBUU,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),12,36000,432000,475200.00000000006,BAKING SODA,COOP TA QUANG BUU,COOP MART,20251031
25100007387,06/10/2025,COOP_CVA,Liên Hiệp HTX TM TP.HCM,NV0025,Minh Tuân (Mar) - 0916.911.885,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),24,36000,864000,950400.0000000001,BAKING SODA,COOP CHU VAN AN,COOP MART,20251031
