TEN DON VI,HE THONG,SYSTEM CODE,KA,SUP,SALE,PG,QUAN,VUNG MIEN,TINH/THANH,NAM,THANG
COOPFOOD EHOME 3,COOP FOOD,COOP_F_EHOME3,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,2
COOPFOOD NGUYEN THONG 1,COOPFOOD,COOP_F_NTHONG1,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,1
COOPFOOD DAT GIA,COOP FOOD,COOP_F_DGIA,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2025,3
COOP AU CO,COOP MART,COOP_AUC_AC856,KA HCM2,VACANCY,TRAN THI THANH TRUC,"""NO PG""",,TP HCM,HCM,2023,8
COOP CAN GIUOC LONG AN,COOP MART,COOP_CGIUOC,KA HCM2,VACANCY,TRAN THI THANH TRUC,"""NO PG""",,LONG AN,DONG BANG SONG CUU LONG,2023,8
COOP CRESCENT MALL,COOP MART,COOP_GIANT,KA HCM2,VACANCY,TRAN THI THANH TRUC,"""NO PG""",,TP HCM,HCM,2023,8
COOP HOA HAO,COOP MART,COOP_HHAO,KA HCM2,VACANCY,TRAN THI THANH TRUC,"""NO PG""",,TP HCM,HCM,2023,8
COOP MINH DUC,COOP MART,COOP_MDUC,KA HCM2,VACANCY,TRAN THI THANH TRUC,"""NO PG""",,TP HCM,,2023,8
COOP NGUYEN THONG 1,COOP MART,COOP_NTHONG1,KA HCM2,VACANCY,TRAN THI THANH TRUC,"""NO PG""",,,,2023,8
COOP PHAM VAN CHIEU,COOP MART,COOP_AUC_PVC,KA HCM2,VACANCY,TRAN THI THANH TRUC,"""NO PG""",,TP HCM,HCM,2023,8
COOP PHU THO,COOP MART,COOP_DSEN,KA HCM2,VACANCY,TRAN THI THANH TRUC,"""NO PG""",,TP HCM,HCM,2023,8
COOP THOAI NGOC HAU,COOP MART,COOP_TNHAU1,KA HCM2,VACANCY,VACANCY,"""NO PG""",,,,2023,8
KING KONG MART,KING KONG MART,6355,KA HCM2,TRAN THI THAO NGUYEN,VACANCY-HANG,"""NO PG""",,,,2024,8
COOPFOOD THANH LOC 17,COOP FOOD,COOP_TLOC17,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2023,10
COOPFOOD BAC HA,COOP FOOD,COOP_FL_BACHA,KA HCM3,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,10
COOP THOAI NGOC HAU,COOP MART,COOP_TNHAU1,KA HCM3,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,10
THIEU NHI MOI VINCOM VIET TRI,THIEU NHI MOI,TNH_VINCOMVTRI,,,,,,,,2024,10
B'S MART,BIG C,4317,,,,,,,,2024,10
COOP MINH DUC,COOP MART,COOP_MDUC,KA HCM3,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,10
COOP AU CO,COOP MART,COOP_AUC_AC856,KA HCM3,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,10
COOP CAN GIUOC LONG AN,COOP MART,COOP_CGIUOC,KA HCM3,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,10
COOP CRESCENT MALL,COOP MART,COOP_GIANT,KA HCM3,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,10
COOP HOA HAO,COOP MART,COOP_HHAO,KA HCM3,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,10
COOP PHAM VAN CHIEU,COOP MART,COOP_AUC_PVC,KA HCM3,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,10
COOP PHU THO,COOP MART,COOP_DSEN,KA HCM3,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,10
COOPFOOD HUYNH TAN PHAT,COOP FOOD,COOP_F_HTPHAT,KA HCM3,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,10
NHA SACH NHAN VAN,NHA SACH NHAN VAN,2184,,,,,,,,2024,10
THIEU NHI MOI VINCOM VIET TRI,THIEU NHI MOI,0,,,,,,,,2024,10
 NHANH NHANH MART,NHANH NHANH,6445,KA HCM5,LU DIEU QUANG,LE NHAT TAN,"""NO PG""",,TPHCM,,2023,12
A STORE AN GIANG,A STORE,6322,KA HCM3,LU DIEU QUANG,VACANCY,"""NO PG""",,AN GIANG,DONG BANG SONG CUU LONG,2023,12
AB BEAUTY WORLD,ABBW,AB_PART,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2023,12
AB BEAUTY WORLD LE DAI HANH,ABBW,AB_LDH,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2023,12
AB BEAUTY WORLD LE VAN SY,ABBW,AB_LVS,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2023,12
AB BEAUTY WORLD LUY BAN BICH,ABBW,AB_LBB,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2023,12
AB BEAUTY WORLD MA LO,ABBW,AB_MALO,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2023,12
AB BEAUTY WORLD NGUYEN THI THAP,ABBW,AB_NTTHAP,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2023,12
AB BEAUTY WORLD PHAN DANG LUU,ABBW,AB_PDL,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2023,12
ACE SONG HANH,ACE,ACE_SH,KA HCM1,LE NAM PHUONG,VU THUY MINH THAO,"""NO PG""",,TP HCM,HCM,2023,12
ACE SU VAN HANH,ACE,ACE_SVH,KA HCM1,LE NAM PHUONG,VU THUY MINH THAO,"""NO PG""",,TP HCM,HCM,2023,12
AEON BINH DUONG,AEON,AEON_BDUONG_RDC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,BINH DUONG,MIEN DONG NAM BO,2023,12
AEON BINH TAN,AEON,AEON_BTAN_RDC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI B&B CONIC,AEON CITI,CITI_CONIC,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI BCA QUAN 2,AEON CITI,CITI_BCAN,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
AEON CITI BINH DUONG,AEON CITI,CITI_BDUONG,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,BINH DUONG,MIEN DONG NAM BO,2023,12
AEON CITI BINH TAN,AEON CITI,CITI_BTAN,KA HCM2,LE NAM PHUONG,TRAN THI THAO NGUYEN,"""NO PG""",,TP HCM,HCM,2023,12
