THÁN; TARGET ;;;;; SALE IN ;%;"FUJITSU 
VM/VM+";"FUJITSU 
LONG CHAU";FUJITSU ;FUJITSU ;FUJITSU ;FUJITSU ;FUJITSU ;FUJITSU ;BAKING;BAKING;BAKING;BAKING;BAKING;BAKING ;BAKING;BAKING;BAKING;" ADIDAS 
VM/VM+ "; ADIDAS BIGC 
;; FUJITSU ; COLEMAN ; ADIDAS ; BAKING SODA ;;;;;COOP;MEGA ;Aeon City ;Big C  ;Lotte ;Emart ;LONG CHÂU;BHX ;COOP  ;BIG C  ;MEGA  ;LOTTE ;VIN   ;KINGFOOD;GHENSAI ;;
THÁNG ; 5.000.000.000   ; 710.462.563   ; 66.958.438   ; 159.846.171   ; 729.657.259   ; 1.666.924.431   ;33%; 160.652.800   ; 112.788.720 ; 160.658.520   ; 26.234.456   ; 50.266.700   ; 53.966.000   ; 66.514.800   ; 2.629.000   ; 83.635.200 ; 205.091.040   ; 68.000.000   ; 152.750.400   ; 7.656.000   ; 56.284.800   ; 110.536.800   ; 7.229.143   ; 1.203.015   ;; 78.258.585   
THÁNG ; 6.000.000.000   ; 683.000.000   ; 52.000.000   ; 259.000.000   ; 836.000.000   ; 1.830.000.000   ;31%; 133.000.000   ; 88.500.000 ; 146.000.000   ; 75.000.000   ; 22.772.200   ; 56.000.000   ; 46.000.000   ; 26.158.000   ; 31.000.000 ; 364.000.000   ; 58.000.000   ; 127.000.000   ; 13.015.200   ; 34.531.000   ; 144.000.000   ; 4.684.838   ; 9.929.700   ;; 89.765.394   
THÁNG ; 6.000.000.000   ; 639.554.773   ; 105.495.300   ; 198.484.835   ; 652.255.650   ; 1.595.790.558   ;27%; 299.538.800   ; 56.849.760 ; 93.894.000   ; -     ; 32.751.400   ; 14.113.000   ; 31.481.780   ; 31.570.000   ; 57.277.440 ; 264.261.360   ; 82.000.000   ; 67.623.600   ; 4.356.000   ; 6.652.800   ; 107.929.800   ; 5.358.467   ; 4.468.200   ;; 64.237.932   
THÁNG ; 6.000.000.000   ; 664.410.933   ; 77.656.101   ; 156.713.119   ; 943.459.385   ; 1.842.239.538   ;31%; 233.798.400   ; 80.942.400   ; 102.000.000   ;; 66.385.440   ; 27.698.000   ; 48.121.700   ; 41.096.000   ; 127.733.760 ; 345.037.440   ; 73.000.000   ; 128.324.460   ; 27.561.600   ; 53.042.880   ; 122.357.400   ; 10.540.842   ; 6.918.120   ;; 59.291.399   
THÁNG ; 6.000.000.000   ; 1.163.870.939   ; 106.226.841   ; 189.530.122   ; 935.099.857   ; 2.394.727.759   ;40%; 672.546.600   ; 93.931.200   ; 160.000.000   ;; 66.289.520   ; 44.251.900   ; 53.350.000   ; 18.128.000   ; 78.312.960 ; 186.881.640   ; 79.000.000   ; 98.326.800   ; 20.671.200   ; 34.837.440   ; 363.201.300   ; 12.328.417   ; 15.195.510   ;; 53.548.660   
THÁNG ; 6.000.000.000   ; 760.942.490   ; 315.945.310   ; 137.608.209   ; 756.904.378   ; 1.971.400.387   ;33%; 395.401.600   ; 74.606.400   ; 68.500.000   ;; 20.676.700   ; 79.349.600   ; 27.464.800   ; 21.109.000   ; 36.267.264 ; 288.526.920   ; 81.500.000   ; 119.087.100   ; 42.108.000   ; 30.866.880   ; 105.372.300   ; 8.596.223   ; 5.735.400   ;; 15.037.378   
THÁNG ; 6.000.000.000   ; 626.173.533   ; 13.442.171   ; 58.623.880   ; 798.174.087   ; 1.496.413.669   ;25%; 207.143.200   ; 107.664.480   ; 132.000.000   ;; 46.964.500   ; 23.101.650   ; 39.376.315   ; 26.956.600   ; 132.295.680 ; 250.966.056   ; 109.000.000   ; 121.664.400   ; 22.202.400   ; 28.300.800   ; 66.610.500   ; 12.153.384   ; 6.534.000   ;; 16.359.200   
THÁNG ; 6.000.000.000   ; 1.355.373.273   ; 72.212.000   ; 64.000.000   ; 1.151.681.180   ; 2.643.266.453   ;44%; 780.239.240   ; 105.811.200   ; 160.000.000   ;; 36.844.500   ; 60.009.950   ; 76.945.825   ; 46.552.000   ; 119.370.240 ; 366.495.096   ; 107.000.000   ; 126.628.920   ; 45.936.000   ; 41.215.680   ; 274.428.000   ; 18.515.350   ; 9.312.600   ;; 21.564.400   
THÁNG ; 6.000.000.000   ; 466.587.790   ; 62.009.281   ; 18.280.205   ; 885.399.558   ; 1.432.276.834   ;24%; 195.342.400   ; 19.008.000   ; 38.000.000   ;; 32.404.900   ; 58.845.380   ; 51.560.630   ; 28.347.000   ; 110.246.400 ; 291.577.325   ; 116.000.000   ; 122.296.680   ; 33.686.400   ; 32.862.720   ; 114.127.200   ; 15.392.124   ; 6.468.000   ;; 16.731.000   
